mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.08094196319580078,0.03315460718494898,0.005301809310913086,0.0018464397417293612,0.1,linear,,"{'C': 0.1, 'kernel': 'linear'}",0.5121466768525592,0.5394142089794264,0.4887272727272727,0.494949494949495,0.45606060606060606,0.46565446565446567,0.6845238095238094,0.625594790884047,0.6139097744360903,0.5519698187890407,0.5432950918856811,0.07191566339834728,5
0.49596731662750243,0.11738144559514062,0.003952693939208984,0.00047115742246314085,1,linear,,"{'C': 1, 'kernel': 'linear'}",0.5124458874458875,0.5406727828746177,0.4887272727272727,0.4887272727272727,0.43512043512043513,0.3572027972027972,0.6899196042053185,0.6901215545283341,0.640944156850415,0.6139097744360903,0.545779153811844,0.1052438917894644,4
2.9939884901046754,0.6182037878201155,0.004954409599304199,0.002372536198156031,5,linear,,"{'C': 5, 'kernel': 'linear'}",0.5033617126640382,0.5608223872073101,0.4887272727272727,0.4759793052475979,0.4278996865203762,0.33840669134786777,0.693906512296004,0.765231259968102,0.6586921850079746,0.6139097744360903,0.5526936787422634,0.12412306390635587,3
0.035309553146362305,0.0024526287378465483,0.009785294532775879,0.0009079328488831808,0.1,rbf,1,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,11
0.03766155242919922,0.0045835289323782735,0.011302924156188965,0.0017928075015755248,0.1,rbf,0.1,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,11
0.03516077995300293,0.0036228465210008404,0.011204028129577636,0.0017778648274581516,0.1,rbf,0.01,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,11
0.035262227058410645,0.0036759659095962943,0.013602280616760254,0.008560018710315859,0.1,rbf,0.001,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,11
0.0543701171875,0.015091452449226961,0.016607236862182618,0.00980961960113304,1,rbf,1,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.494949494949495,0.5097870920058175,0.5446853146853148,0.5169110459433041,0.5239874608150471,0.5774026655222564,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.5135550756519717,0.027254013001981527,9
0.03961448669433594,0.0052817966576490585,0.010502362251281738,0.002157808364896165,1,rbf,0.1,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.494949494949495,0.5239874608150471,0.6066115702479339,0.6065699006875477,0.48240469208211145,0.560480841472577,0.4491978609625669,0.494949494949495,0.4889643463497453,0.5973684210526317,0.5305484083569151,0.05492568710290771,6
0.03811149597167969,0.004816673490298484,0.012353992462158203,0.005784001598161061,1,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.4887272727272727,0.5357675111773472,0.494949494949495,0.494949494949495,0.4759793052475979,0.45606060606060606,0.494949494949495,0.5239874608150471,0.5111878055795225,0.4889643463497453,0.4965522792805624,0.021665777844024906,10
