region,ig,prop,cumsum,cumsum_prop
902.0,1.3730736651359938,0.07143663901272644,1.3730736651359938,0.07143663901272644
3901.0,1.0072949268894311,0.052406339076078653,2.380368592025425,0.1238429780888051
4302.0,0.9251453048033207,0.048132356516362065,3.305513896828746,0.17197533460516717
1801.0,0.7697628468180842,0.040048303313796205,4.07527674364683,0.21202363791896336
3702.0,0.6339230886349818,0.032980994388356125,4.709199832281811,0.24500463230731948
1002.0,0.6073025655781885,0.03159601356451244,5.31650239786,0.2766006458718319
2701.0,0.5684359651803418,0.02957390843441524,5.884938363040342,0.3061745543062472
49.0,0.5646082592655985,0.029374765116309792,6.44954662230594,0.33554931942255695
1102.0,0.5428823963023502,0.028244437830051764,6.9924290186082905,0.3637937572526087
10.0,0.5342796792793283,0.0277968659290632,7.526708697887619,0.3915906231816719
3602.0,0.4991218267881057,0.025967715111703808,8.025830524675724,0.4175583382933757
901.0,0.49553773253783034,0.02578124613072663,8.521368257213554,0.4433395844241023
1302.0,0.4675912931379717,0.024327282112779344,8.988959550351526,0.46766686653688166
1802.0,0.4193864328716591,0.02181933713579777,9.408345983223185,0.4894862036726794
2501.0,0.41175707153822594,0.021422405823725642,9.820103054761411,0.510908609496405
2602.0,0.4106918747626723,0.021366987036325617,10.230794929524084,0.5322755965327307
402.0,0.40640914298480335,0.021144170175313535,10.637204072508887,0.5534197667080443
201.0,0.3836606616874324,0.019960639322023813,11.02086473419632,0.573380406030068
3501.0,0.37838538036110886,0.019686183276898347,11.399250114557429,0.5930665893069664
4002.0,0.35852695661021233,0.01865301289072388,11.757777071167641,0.6117196021976903
12.0,0.3575358254378723,0.018601447500191316,12.115312896605515,0.6303210496978817
2601.0,0.33570741732608655,0.01746578511724869,12.4510203139316,0.6477868348151303
2902.0,0.3291019857232422,0.017122125599979516,12.780122299654842,0.6649089604151098
3701.0,0.325253812974827,0.01692191745786216,13.105376112629669,0.681830877872972
1401.0,0.31698961436526485,0.01649195758914507,13.422365726994933,0.698322835462117
2101.0,0.30674060892733024,0.015958734558000058,13.729106335922262,0.714281570020117
1202.0,0.29824784217963807,0.015516883018800897,14.0273541781019,0.7297984530389179
1402.0,0.28620247161704393,0.014890200845438163,14.313556649718944,0.744688653884356
4502.0,0.28619675975835257,0.014889903675666586,14.599753409477296,0.7595785575600227
1201.0,0.282084539862162,0.014675958003468421,14.881837949339458,0.774254515563491
802.0,0.2810464379005023,0.01462194887273024,15.16288438723996,0.7888764644362213
4401.0,0.2800511888286825,0.014570169241034879,15.442935576068642,0.8034466336772561
1901.0,0.2797714309992946,0.014555614334348942,15.722707007067937,0.8180022480116051
2401.0,0.2730396472426533,0.014205381117919661,15.99574665431059,0.8322076291295247
3801.0,0.24656585524308922,0.012828034242518369,16.24231250955368,0.8450356633720432
101.0,0.23749065375391537,0.012355880483247442,16.479803163307597,0.8573915438552907
4001.0,0.23241312779166376,0.01209171301834512,16.71221629109926,0.8694832568736357
3902.0,0.21744014646163054,0.011312716603675745,16.92965643756089,0.8807959734773115
3002.0,0.17910822665628515,0.009318429197742556,17.108764664217176,0.890114402675054
52.0,0.16074584250487547,0.008363092975554256,17.269510506722053,0.8984774956506084
2001.0,0.14482511219181154,0.007534788207156653,17.414335618913864,0.906012283857765
4301.0,0.13767826357426322,0.007162960491183499,17.552013882488126,0.9131752443489485
301.0,0.12193058886088273,0.006343659253126339,17.67394447134901,0.9195189036020749
2302.0,0.11595219016779776,0.006032622256236761,17.789896661516806,0.9255515258583116
2702.0,0.11343012546904166,0.0059014072821050294,17.903326786985847,0.9314529331404166
3402.0,0.09896191706842913,0.005148672591375173,18.002288704054276,0.9366016057317917
4501.0,0.09519419078832576,0.00495264982216428,18.097482894842603,0.941554255553956
53.0,0.08340367210537997,0.0043392267784392495,18.180886566947983,0.9458934823323953
202.0,0.0795667473199019,0.004139603831922369,18.260453314267885,0.9500330861643177
50.0,0.07841824555777273,0.0040798509520369505,18.33887155982566,0.9541129371163547
4202.0,0.07517535184579882,0.003911133545723593,18.41404691167146,0.9580240706620784
701.0,0.07313254822269853,0.003804852995231168,18.487179459894158,0.9618289236573095
1602.0,0.06634479768349687,0.0034517080057892774,18.553524257577653,0.9652806316630987
2002.0,0.061745455273435404,0.00321241890442053,18.615269712851088,0.9684930505675192
2201.0,0.06007641148258418,0.003125583884704627,18.67534612433367,0.9716186344522239
4402.0,0.05682812559373678,0.002956585940644035,18.732174249927407,0.9745752203928678
102.0,0.056072858305315526,0.002917291794953952,18.788247108232724,0.9774925121878218
3401.0,0.05313212758370845,0.0027642949643197612,18.841379235816433,0.9802568071521416
1502.0,0.0505771469434716,0.0026313674788428425,18.891956382759904,0.9828881746309844
2502.0,0.04800579678824216,0.002497588339763476,18.939962179548147,0.9853857629707479
801.0,0.04451802279644389,0.002316130594315134,18.98448020234459,0.987701893565063
4102.0,0.044081906555967186,0.0022934408587025616,19.028562108900555,0.9899953344237655
58.0,0.03826328291465601,0.0019907164476462226,19.06682539181521,0.9919860508714117
1101.0,0.024467303868183323,0.0012729557039993069,19.091292695683393,0.9932590065754109
3202.0,0.024124775396630688,0.0012551350412080915,19.115417471080022,0.9945141416166189
4802.0,0.02312242596495405,0.0012029860004585528,19.138539897044975,0.9957171276170774
1301.0,0.01925627772517314,0.0010018426509154222,19.157796174770148,0.9967189702679928
1601.0,0.017883440537635735,0.0009304183150771531,19.175679615307782,0.99764938858307
601.0,0.0160260416812748,0.0008337837826601575,19.191705656989058,0.9984831723657301
