mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0592883825302124,0.012768327170780311,0.007519578933715821,0.005188138018447476,0.1,linear,,"{'C': 0.1, 'kernel': 'linear'}",0.6558441558441559,0.5210506335978596,0.5124435847840103,0.48669395241410934,0.45683247570040025,0.5284848484848484,0.517902097902098,0.47421150278293134,0.4786795649560038,0.44277360066833743,0.5074916417134754,0.05647207452445625,2
0.49275989532470704,0.09140126908623693,0.005708432197570801,0.003531576819278653,1,linear,,"{'C': 1, 'kernel': 'linear'}",0.5919875006368561,0.49111888111888113,0.5098615464994775,0.47609427609427607,0.46631356315190076,0.5324675324675324,0.4971890854243795,0.517902097902098,0.49717197012218817,0.45840280175603015,0.503850925517362,0.0364919713145898,4
2.8212300300598145,0.9703368478534543,0.005003094673156738,0.0018971947771581278,5,linear,,"{'C': 5, 'kernel': 'linear'}",0.6140560372427877,0.5075887371718326,0.5098615464994775,0.47609427609427607,0.4839908519153802,0.5175390266299357,0.4971890854243795,0.5075887371718326,0.4786795649560038,0.4639676113360323,0.5056555474441937,0.03974612504723708,3
0.044823837280273435,0.005836415660298179,0.013206982612609863,0.002614219725342469,0.1,rbf,1,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.047475123405456544,0.008011712805228043,0.012363243103027343,0.002444522919552746,0.1,rbf,0.1,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.041713380813598634,0.007295084521698912,0.011254191398620605,0.0012504969481569386,0.1,rbf,0.01,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.03681635856628418,0.00617804283385887,0.011253786087036134,0.0016622634872123204,0.1,rbf,0.001,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.04631507396697998,0.009027039745379729,0.012455463409423828,0.0022853305139877577,1,rbf,1,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.05221989154815674,0.008676473110878805,0.014556121826171876,0.00405709917423513,1,rbf,0.1,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.04371545314788818,0.005798873829183591,0.013856101036071777,0.004564771197254807,1,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.494949494949495,0.5097870920058175,0.5121466768525592,0.5661701763396678,0.4953668920611069,0.494949494949495,0.4580102293350932,0.47320664269816815,0.4762726488352027,0.48197512724982944,0.49628344752764353,0.0281515230514658,5
0.03983595371246338,0.005654887428660526,0.010840249061584473,0.0030732675442344333,1,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.05462610721588135,0.0061991409332940815,0.013203167915344238,0.0026756462223287716,10,rbf,1,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.06292247772216797,0.018338008743987354,0.015206170082092286,0.005136442408936066,10,rbf,0.1,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.494949494949495,0.4889643463497453,0.4889643463497453,0.493752465229545,0.002394059439899876,6
0.07522890567779542,0.0332697477503045,0.020608997344970702,0.013840455580697146,10,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.5884997047787746,0.5308885961059874,0.587251828631139,0.5236528177704649,0.5064935064935064,0.4849967565563896,0.444261620732209,0.48097191215409374,0.4863477084272977,0.48864265927977835,0.5122007110929641,0.04418318598273799,1
